	__file__ = run_train.py
	fold_dir = result_0525-3D-265-mask-Bspline3/res-0525-3D-265-mask-Bspline3-experiment0/0.5-0.5-0-0/YNetCls_3D/128/fold-all

** dataset setting **
train_dataset : 
	len = 265
	num_patient = 265
	num_image = 265
	\T_Stage0 =   156 (0.589)
	\T_Stage1 =   109 (0.411)

valid_dataset : 
	len = 52
	num_patient = 52
	num_image = 52
	\T_Stage0 =    24 (0.462)
	\T_Stage1 =    28 (0.538)


** Config Setting **
start_lr    : 1e-05
min_lr      : 48
epochs      : 300
num_workers : 16

** net setting **
	initial_checkpoint = None

optimizer
  Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-07
    foreach: None
    initial_lr: 1e-05
    lr: 1e-05
    maximize: False
    weight_decay: 0.0001
)
scheduler
  <torch.optim.lr_scheduler.StepLR object at 0x7f41b98fd490>

** start training here! **
   batch_size = 8
   experiment = ['run_train.py']
                           |------------------------- VALID -------------------------|---------------- TRAIN/BATCH ----------
rate     iter        epoch | loss    Auc    Acc    Precision    Recall    Specificity|    loss              | time           
--------------------------------------------------------------------------------------------------------------------------
6.25e-7   00007446* 219.00 | 0.3409  0.8943  0.7885  0.7742  0.8571  0.5479  | 0.2627  0.2223  0.0404  0.0000  |  9 hr 57 min
6.25e-7   00007548* 222.00 | 0.3490  0.8906  0.8077  0.8000  0.8571  0.5563  | 0.2712  0.2361  0.0351  0.0000  | 10 hr 05 min
6.25e-7   00007650* 225.00 | 0.3471  0.9033  0.8269  0.8276  0.8571  0.5654  | 0.2681  0.2311  0.0370  0.0000  | 10 hr 12 min
6.25e-7   00007752* 228.00 | 0.3436  0.9062  0.8077  0.8000  0.8571  0.5637  | 0.2701  0.2339  0.0362  0.0000  | 10 hr 21 min
6.25e-7   00007854* 231.00 | 0.3391  0.9062  0.8077  0.7812  0.8929  0.5550  | 0.2652  0.2271  0.0382  0.0000  | 10 hr 29 min
6.25e-7   00007956* 234.00 | 0.3466  0.8981  0.7885  0.7576  0.8929  0.5521  | 0.2648  0.2241  0.0407  0.0000  | 10 hr 37 min
6.25e-7   00008058* 237.00 | 0.3420  0.9077  0.8462  0.8333  0.8929  0.5617  | 0.2630  0.2260  0.0370  0.0000  | 10 hr 45 min
6.25e-7   00008160* 240.00 | 0.3414  0.9100  0.8462  0.8333  0.8929  0.5621  | 0.2611  0.2261  0.0350  0.0000  | 10 hr 53 min
3.13e-7   00008262* 243.00 | 0.3404  0.9077  0.8269  0.8065  0.8929  0.5600  | 0.2735  0.2331  0.0404  0.0000  | 11 hr 00 min
3.13e-7   00008364* 246.00 | 0.3376  0.9062  0.8462  0.8333  0.8929  0.5550  | 0.2633  0.2245  0.0387  0.0000  | 11 hr 08 min
3.13e-7   00008466* 249.00 | 0.3407  0.9018  0.8077  0.7812  0.8929  0.5517  | 0.2595  0.2231  0.0364  0.0000  | 11 hr 16 min
3.13e-7   00008568* 252.00 | 0.3404  0.9003  0.8269  0.8065  0.8929  0.5554  | 0.2622  0.2266  0.0356  0.0000  | 11 hr 25 min
3.13e-7   00008670* 255.00 | 0.3398  0.8996  0.8077  0.8000  0.8571  0.5533  | 0.2631  0.2270  0.0361  0.0000  | 11 hr 32 min
3.13e-7   00008772* 258.00 | 0.3380  0.8996  0.8077  0.8000  0.8571  0.5542  | 0.2638  0.2296  0.0342  0.0000  | 11 hr 40 min
3.13e-7   00008874* 261.00 | 0.3394  0.9033  0.8269  0.8276  0.8571  0.5563  | 0.2575  0.2228  0.0347  0.0000  | 11 hr 48 min
3.13e-7   00008976* 264.00 | 0.3402  0.9077  0.8269  0.8276  0.8571  0.5629  | 0.2645  0.2308  0.0338  0.0000  | 11 hr 56 min
3.13e-7   00009078* 267.00 | 0.3390  0.9062  0.8077  0.8000  0.8571  0.5571  | 0.2576  0.2209  0.0367  0.0000  | 12 hr 04 min
3.13e-7   00009180* 270.00 | 0.3410  0.9033  0.7885  0.7742  0.8571  0.5571  | 0.2607  0.2237  0.0370  0.0000  | 12 hr 12 min
3.13e-7   00009282* 273.00 | 0.3418  0.8958  0.7885  0.7742  0.8571  0.5542  | 0.2617  0.2242  0.0376  0.0000  | 12 hr 19 min
3.13e-7   00009384* 276.00 | 0.3411  0.9033  0.8077  0.7812  0.8929  0.5563  | 0.2595  0.2264  0.0331  0.0000  | 12 hr 27 min
3.13e-7   00009486* 279.00 | 0.3424  0.9025  0.7885  0.7742  0.8571  0.5583  | 0.2534  0.2197  0.0337  0.0000  | 12 hr 35 min
3.13e-7   00009588* 282.00 | 0.3431  0.9010  0.8269  0.8276  0.8571  0.5604  | 0.2585  0.2231  0.0353  0.0000  | 12 hr 43 min
3.13e-7   00009690* 285.00 | 0.3406  0.9048  0.8269  0.8276  0.8571  0.5596  | 0.2613  0.2279  0.0335  0.0000  | 12 hr 51 min
3.13e-7   00009792* 288.00 | 0.3407  0.8943  0.7885  0.7742  0.8571  0.5500  | 0.2594  0.2209  0.0385  0.0000  | 12 hr 59 min
1.56e-7   00009894* 291.00 | 0.3420  0.8929  0.8077  0.8000  0.8571  0.5537  | 0.2606  0.2224  0.0382  0.0000  | 13 hr 07 min
1.56e-7   00009996* 294.00 | 0.3424  0.9003  0.8269  0.8276  0.8571  0.5608  | 0.2633  0.2299  0.0333  0.0000  | 13 hr 15 min
1.56e-7   00010098* 297.00 | 0.3413  0.9018  0.8269  0.8276  0.8571  0.5608  | 0.2657  0.2263  0.0393  0.0000  | 13 hr 22 min

